portfolio_name,risk_profile,time_horizon,assets,estimated_volatility,average_return
Bond_Portfolio_11,Medium,Long Term,Japan 5Y Government Bond:8.62%; Switzerland 5Y Bond:6.90%; Australia 10Y Bond:1.72%; Germany 10Y Bund:5.17%; Denmark 10Y Bond:1.72%; Italy 10Y BTP:2.59%; Japan 10Y Government Bond:0.86%; Sweden 10Y Bond:1.72%; Brazil 5Y Bond:2.59%; Canada 10Y Government Bond:5.17%; Denmark 5Y Bond:6.03%; UK 5Y Gilt:2.59%; France 10Y OAT:8.62%; Canada 5Y Government Bond:6.03%; Spain 10Y Bono:8.62%; Netherlands 5Y Bond:7.76%; Sweden 5Y Bond:4.31%; UK 10Y Gilt:6.90%; Switzerland 10Y Bond:6.90%; Australia 5Y Bond:5.17%,0.017,0.007
Bond_Portfolio_12,Low,Medium Term,Netherlands 5Y Bond:10.84%; Switzerland 5Y Bond:7.23%; Spain 5Y Bono:6.02%; Canada 5Y Government Bond:3.61%; Sweden 5Y Bond:7.23%; Sweden 10Y Bond:4.82%; Switzerland 10Y Bond:12.05%; Denmark 10Y Bond:8.43%; Netherlands 10Y Bond:6.02%; Germany 10Y Bund:1.20%; Italy 5Y BTP:6.02%; Australia 10Y Bond:4.82%; US 2Y Treasury:4.82%; France 5Y OAT:6.02%; US 10Y Treasury:6.02%; Japan 10Y Government Bond:4.82%,0.009,0.003
Bond_Portfolio_13,Medium,Long Term,US 2Y Treasury:13.21%; Denmark 5Y Bond:13.21%; Brazil 5Y Bond:15.09%; Sweden 10Y Bond:11.32%; US 10Y Treasury:1.89%; Spain 10Y Bono:3.77%; Switzerland 10Y Bond:5.66%; Canada 10Y Government Bond:11.32%; Sweden 5Y Bond:7.55%; Germany 10Y Bund:16.98%,0.025,0.008
Bond_Portfolio_14,Medium,Short Term,Sweden 10Y Bond:3.28%; Canada 5Y Government Bond:3.28%; Canada 10Y Government Bond:3.28%; Switzerland 10Y Bond:9.84%; Sweden 5Y Bond:9.84%; Australia 5Y Bond:16.39%; Spain 5Y Bono:4.92%; Germany 5Y Bund:8.20%; Brazil 5Y Bond:3.28%; UK 5Y Gilt:8.20%; Italy 5Y BTP:11.48%; Norway 10Y Bond:8.20%; Spain 10Y Bono:6.56%; France 5Y OAT:3.28%,0.03,0.01
Bond_Portfolio_15,Medium,Medium Term,Sweden 5Y Bond:10.77%; Canada 10Y Government Bond:7.69%; Spain 10Y Bono:15.38%; Brazil 5Y Bond:13.85%; Norway 5Y Bond:1.54%; Australia 5Y Bond:15.38%; Australia 10Y Bond:4.62%; Netherlands 5Y Bond:7.69%; Japan 10Y Government Bond:3.08%; Italy 10Y BTP:13.85%; Japan 5Y Government Bond:6.15%,0.019,0.007
Bond_Portfolio_16,Medium,Medium Term,France 10Y OAT:2.44%; France 5Y OAT:10.98%; Norway 10Y Bond:1.22%; Australia 5Y Bond:1.22%; UK 10Y Gilt:6.10%; Switzerland 5Y Bond:2.44%; UK 5Y Gilt:12.20%; Canada 10Y Government Bond:12.20%; US 2Y Treasury:9.76%; Netherlands 5Y Bond:10.98%; US 30Y Treasury:4.88%; Spain 5Y Bono:4.88%; Brazil 5Y Bond:10.98%; Australia 10Y Bond:1.22%; Germany 5Y Bund:8.54%,0.029,0.007
Bond_Portfolio_17,Low,Short Term,Australia 10Y Bond:14.04%; Germany 5Y Bund:1.75%; Netherlands 10Y Bond:1.75%; Canada 5Y Government Bond:3.51%; France 5Y OAT:10.53%; France 10Y OAT:8.77%; Australia 5Y Bond:3.51%; Denmark 10Y Bond:5.26%; Canada 10Y Government Bond:7.02%; Norway 10Y Bond:5.26%; Norway 5Y Bond:3.51%; Denmark 5Y Bond:14.04%; US 10Y Treasury:8.77%; Japan 5Y Government Bond:8.77%; Brazil 5Y Bond:3.51%,0.014,0.004
Bond_Portfolio_18,Medium,Long Term,Netherlands 5Y Bond:4.41%; Italy 5Y BTP:1.47%; Spain 10Y Bono:2.94%; UK 5Y Gilt:13.24%; Brazil 10Y Bond:10.29%; Netherlands 10Y Bond:5.88%; US 10Y Treasury:14.71%; Japan 10Y Government Bond:10.29%; Switzerland 5Y Bond:14.71%; UK 10Y Gilt:10.29%; Norway 5Y Bond:11.76%,0.015,0.006
Bond_Portfolio_19,Medium,Short Term,Brazil 5Y Bond:7.07%; Norway 10Y Bond:10.10%; Spain 10Y Bono:1.01%; US 2Y Treasury:4.04%; Spain 5Y Bono:8.08%; Italy 10Y BTP:10.10%; Australia 5Y Bond:2.02%; UK 5Y Gilt:5.05%; Sweden 5Y Bond:9.09%; Sweden 10Y Bond:4.04%; Netherlands 10Y Bond:9.09%; Denmark 5Y Bond:2.02%; Netherlands 5Y Bond:4.04%; UK 10Y Gilt:6.06%; Canada 5Y Government Bond:10.10%; US 10Y Treasury:7.07%; Germany 5Y Bund:1.01%,0.027,0.007
Bond_Portfolio_20,High,Long Term,Germany 10Y Bund:7.69%; Japan 5Y Government Bond:7.69%; Germany 5Y Bund:1.54%; Switzerland 10Y Bond:7.69%; Sweden 10Y Bond:10.77%; US 30Y Treasury:6.15%; US 10Y Treasury:10.77%; Australia 10Y Bond:4.62%; UK 5Y Gilt:15.38%; Italy 5Y BTP:4.62%; Australia 5Y Bond:13.85%; Netherlands 10Y Bond:9.23%,0.035,0.019
